Title,Summary,Website,Status,Deadline,Competition / Award,Internship / Job,Coursework / Enrichment,Volunteering,Remote,Residential,Science & Engineering,Medicine & Health,Sports & Athletics,Sustainability & Environment,Service & Advocacy,Business & Economics,Law & Politics,Arts & Media,Writing & Humanities,Architecture & Design
NYU Applied Research in Science and Engineering (ARISE),"ARISE is a free 10-week summer program for students interested in STEM research. It consists of 4 weeks of foundational training in safety, writing, and research skills, followed by 6 weeks of hands-on research in over 80 NYU labs, where students assist faculty on real-world engineering and science projects.",https://k12stem.engineering.nyu.edu/programs/arise,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,,TRUE,FALSE,,,TRUE,,FALSE,,,,,,FALSE,
NYU Steinhardt Summer Art Intensive,"In this 4-week summer program, high school artists develop their practice in digital art, painting, and sculpture. Students work closely with NYU faculty in a close-knit community to create ambitious works and gain insight into New York’s contemporary art world.",https://steinhardt.nyu.edu/programs/art-education/high-school-programs/high-school-summer-art-intensive-studio-practice,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,FALSE,TRUE,FALSE,,,,,FALSE,,FALSE,,,TRUE,,
NYU GSTEM Research Program,"GSTEM is a 6-week summer research program for high school students interested in STEM careers. Participants are paired with researchers for individual projects in their chosen field, earn lab experience, and take weekly field trips to meet women leaders across various STEM disciplines.",https://wp.nyu.edu/gstem/about-us/,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,,TRUE,FALSE,,,TRUE,,FALSE,,,,,,,
Rockefeller University Summer Science Research Program (SSRP),"SSRP is a competitive 7-week mentored research program for high school juniors and seniors. Scholars join research teams led by scientific trainees from Rockefeller University, MSK, and WCMC. The experience is supplemented by elective courses, guest lectures, and networking workshops.",https://www.rockefeller.edu/outreach/ssrp/,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,,TRUE,FALSE,,,TRUE,,FALSE,,,,,,,
Telluride Association Summer Seminar,"The Telluride Association Summer Seminar (TASS) is a free, six-week educational program for high school sophomores and juniors focused on critical thinking and democratic community. The curriculum explores how power and privilege shape social structures through two distinct areas of study: TASS-CBS (Critical Black Studies), which examines history, politics, and art through the intellectual contributions of people of African descent, and TASS-AOS (Anti-Oppressive Studies), which investigates how diverse forms of power influence social organization. Held at Cornell University and the University of Maryland, the program covers all student costs, including tuition, books, room and board, and field trips. TASS is open to rising juniors and seniors who demonstrate a commitment to leadership and service, providing a transformative experience rooted in the humanities and social sciences.",https://tellurideassociation.org/our-programs/high-school-students/,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,,TRUE,FALSE,,TRUE,,,FALSE,,TRUE,,TRUE,FALSE,TRUE,
UChicago Summer Session Pre-College Program,"The University of Chicago's Summer Session offers high school students the opportunity to join a global community of thinkers and engage with diverse subject areas in a rigorous academic environment. Situated on the university's Hyde Park campus, the program encourages students to take intellectual risks and explore topics beyond the high school curriculum. Residential programs range from one to four weeks in length. In the 3-Week Immersion, students enroll in an undergraduate-level course taught by UChicago faculty. These courses focus on in-depth exploration through seminar-style discussions, collaborative projects, and relevant field trips. The 4-Week Practicum involves intensive, hands-on courses are designed for students seeking deep research experience. Specialized tracks include Research in the Biological Sciences (RIBS), where participants learn advanced laboratory techniques, and Stones and Bones, a field-based program where students work alongside Field Museum paleontologists in Wyoming.",https://summer.uchicago.edu/pre-college/,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,FALSE,TRUE,FALSE,,TRUE,,,FALSE,FALSE,FALSE,,,FALSE,,
Yale Young Global Scholars Summer Program,"Yale Young Global Scholars (YYGS) is an academic enrichment program designed for outstanding high school students from around the world. Each summer, participants from over 150 countries and all 50 U.S. states gather at Yale’s historic campus for a two-week interdisciplinary residential session. The program provides an immersive global learning experience at Yale University, allowing students to engage with diverse perspectives and challenging academic content in a collaborative community. The curriculum is highly collaborative, exposing participants to innovative topics while facilitating student discussions shaped by international perspectives. Students have the opportunity to participate in a STEM, social sciences, humanities, or cross-disciplinary track.",https://globalscholars.yale.edu/,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,,TRUE,FALSE,,TRUE,FALSE,,FALSE,,FALSE,,,,FALSE,
Urban Barcode DNA Research Program,"The Urban Barcode Research Program (UBRP), supported by the Pinkerton Foundation, is a science education initiative that engages NYC high school students in biodiversity studies using DNA technology. Once accepted, students complete a training course in biodiversity, conservation biology, and research methodology, gaining hands-on experience with laboratory techniques. Under expert mentorship, participants then conduct student-driven research projects using DNA barcoding to explore the relationship between biodiversity and human activity. As members of the NYC Science Research Mentoring Consortium, students also gain access to collaborative events and programming at partnering scientific institutions.",https://dnabarcoding101.org/programs/ubrp/,CLOSED,Upcoming application cycle (for 26-27 Academic Year) will open in Spring 2026,,,TRUE,FALSE,,,TRUE,FALSE,FALSE,TRUE,,,,,,
Whitney Museum Youth Insights Art Program,Youth Insights (YI) is an after-school and summer program that connects New York City high school students to art and artists. The Whitney also offers drop-in programs and events throughout the year.,https://whitney.org/education/teens/youth-insights,CLOSED,Upcoming application cycle (for 2027) will open later this year,,,TRUE,FALSE,,,,,FALSE,,,,,TRUE,,
Julliard Pre-College,"Juilliard Pre-College provides high-quality preparatory instruction for students in orchestral instruments, piano, organ, classical guitar, classical voice, and composition. The curriculum includes private lessons, chamber music, music theory, ear training, and large ensembles, with electives available in conducting, music history, and other specialized topics. The Preparatory Education program runs on Saturdays from 9:00 AM to 6:00 PM throughout the academic year, though students may occasionally be required to attend private lessons or chamber coachings during the week. Participants benefit from instruction by an outstanding faculty and receive numerous performance opportunities to refine their craft in a professional environment.",https://www.juilliard.edu/music/preparatory-division/juilliard-pre-college,CLOSED,Upcoming application cycle (for 2027) will open later this year,,,TRUE,FALSE,,,,,FALSE,FALSE,,,,TRUE,FALSE,
Federal Reserve Bank High School Fed Challenge,"The High School Fed Challenge is a research and writing competition designed to encourage students in grades 9–12 to explore economic themes and consider careers in the field. The program requires no previous study of economics, prioritizing intellectual curiosity and independent research. Participants gain a deeper understanding of economic principles and their real-world applications through the competition's annual theme, helping to foster critical thinking and analytical skills.",https://www.newyorkfed.org/outreach-and-education/high-school/high-school-fed-challenge,CLOSED,Upcoming submission cycle (for 2027) will open in September,TRUE,,FALSE,FALSE,,,,,FALSE,,,TRUE,,,TRUE,
Scholastic Art & Writing Awards,"The Scholastic Art & Writing Awards is the nation’s longest-running and most prestigious recognition program for creative teens in grades 7–12. This program provides an opportunity for students to submit original art and writing for the chance to earn local and national recognition, including scholarships and exhibition opportunities. In New York City, participants are eligible for Regional Awards, including Gold Key, Silver Key, and Honorable Mention distinctions, and are celebrated at a regional ceremony in March. Gold Key-winning works earn the additional honor of being showcased in the annual exhibition at the Metropolitan Museum of Art.",https://www.artandwriting.org/awards/,CLOSED,Upcoming submission cycle (for 2027) will open later this year,TRUE,,,FALSE,,,,,FALSE,,,,,TRUE,TRUE,
C-SPAN StudentCam Documentary Competition,"StudentCam is C-SPAN’s annual national video documentary competition that encourages students in grades 6–12 to think critically about issues affecting their communities and the nation. Participants must create a 5–6 minute documentary on a specified annual topic, incorporating C-SPAN video clips to support their research and analysis. The competition provides a platform for students to explore public policy and social issues while competing for various national prizes and recognition.",https://www.studentcam.org/,CLOSED,Upcoming submission cycle (for 2027) will open later this year,TRUE,,,FALSE,,,,,FALSE,,TRUE,,TRUE,FALSE,FALSE,
Bennington College Young Writers Awards,"Bennington College in Vermont hosts the annual Young Writers Awards to recognize high school achievement in poetry, short stories, and essays. Open to students in grades 9–12 worldwide, the competition honors the college's literary legacy, which includes Pulitzer Prize winners and U.S. poet laureates. Submissions are due by November 1, with first, second, and third place winners selected alongside distinguished entries for each grade level. All recognized participants receive cash prizes and scholarships.",https://www.bennington.edu/events/young-writers-awards,CLOSED,"Upcoming submission cycle will be due November 1, 2026",TRUE,,,FALSE,,,,,FALSE,,,,,TRUE,TRUE,
NYC Parks Lifeguard Job,NYC Parks is seeking dedicated individuals (ages 16+) to serve as seasonal lifeguards at city pools and beaches in Summer 2026. This role offers a wage of $22.00 per hour and builds critical skills in safety and leadership. All applicants must pass a qualifying swim test and complete a training program.,https://www.nycgovparks.org/opportunities/jobs/lifeguards,CLOSED,Upcoming qualifying swim tests (for Summer 2027) will begin in October,,TRUE,,FALSE,,,,,FALSE,FALSE,FALSE,,,,,
