Title,Summary,Website,Status,Deadline,Competition / Award,Internship / Job,Coursework / Enrichment,Volunteering,Remote,Residential,Science & Engineering,Medicine & Health,Sports & Athletics,Sustainability & Environment,Service & Advocacy,Business & Economics,Law & Politics,Arts & Media,Writing & Humanities,Architecture & Design
Brooklyn Museum Apprentice Program,"In this paid internship, NYC high school students immerse themselves in art history and museum education at a world-class institution. Guided by curators and educators, apprentices create lesson plans and gain experience teaching audiences of all ages. Participants earn $16.50 per hour (rising to $17.50 for second-year leaders), work up to 180 hours annually, and receive MetroCards for travel.",https://www.brooklynmuseum.org/careers/internships-fellowships/museum-apprentice-program,CLOSED,Upcoming application cycle (for Fall 2026) will open in July,,TRUE,FALSE,FALSE,,,,,FALSE,,,,,TRUE,TRUE,
Stanford Artificial Intelligence in Medicine and Imaging (AIMI) Remote Internship,"The Stanford Center for Artificial Intelligence in Medicine and Imaging (AIMI) offers a 2-week online virtual summer internship for high school students interested in the intersection of AI and healthcare. Participants engage in specialized lectures, collaborate on research projects, and receive mentorship from Stanford researchers and students. The program features Virtual Career Lunch & Learns with guest speakers and offers an optional Student Lead role for those seeking additional leadership experience. Upon completion, students earn a certificate, with select participants becoming eligible for extended research opportunities.",https://aimi.stanford.edu/education/summer-research-internship,CLOSED,Upcoming application cycle (for Summer 2027) will open in December,,TRUE,,FALSE,TRUE,,TRUE,TRUE,FALSE,,FALSE,,,,,
Mount Sinai Summer Junior Medical Program (JuMP),"The Junior Medical Program (JuMP) is a 6-week summer volunteering commitment (100 hours total) for students ages 15 to 17. Participants gain direct patient contact and observe the clinical and non-clinical daily operations of a hospital at Mount Sinai, learning from healthcare professionals to support patient satisfaction.",https://www.mountsinai.org/locations/morningside/about/volunteer,CLOSED,Upcoming application cycle (for Summer 2027) will open in January,,,,TRUE,,,,TRUE,FALSE,,TRUE,,,,,
Iowa Young Writers Studio Summer Residential Program,"The 2-week Summer Residential Program at the University of Iowa in Iowa City offers an immersive creative writing experience for current 10th, 11th, and 12th-grade students. Participants select one core course (fiction, poetry, general creative writing, TV writing, or playwriting) taught by graduates of the Iowa Writers' Workshop and University of Iowa MFA programs. The curriculum emphasizes writing exercises, peer critique, and collaborative projects, and is supplemented by craft workshops, author readings, and social activities like open mics and talent shows.",https://iyws.program.uiowa.edu/2-week-summer-residential-program,CLOSED,Upcoming application cycle (for Summer 2027) will open in January,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
WCS Project TRUE (Teens Researching Urban Ecology) Internship,"Project TRUE (Teens Researching Urban Ecology) is an urban ecology research and youth development program for high school sophomores and juniors living in the Bronx. Run by the Bronx Zoo Education team in partnership with Fordham University, the program provides hands-on field research experience.",https://bronxzoo.com/teens/project-true,CLOSED,Upcoming application cycle (for Summer 2027) will open in January,,TRUE,FALSE,FALSE,,,,,FALSE,TRUE,TRUE,,,,,
MIT MITES Summer,"MITES Summer is a 6-week, on-campus program that immerses rising high school seniors from across the country in the MIT experience. Participants take five rigorous math, science, and humanities courses while developing the academic and personal skills necessary for success in STEM. In addition to coursework, the program features lab tours, social events, and dedicated college admissions counseling to provide firsthand insight into the rewards of pursuing STEM degrees and careers.",https://mites.mit.edu/discover-mites/mites-summer/,CLOSED,Upcoming application cycle (for Summer 2027) will open in November,,,TRUE,FALSE,,TRUE,TRUE,,FALSE,,,,,,TRUE,
BU Research in Science & Engineering (RISE) ,"The Research in Science & Engineering (RISE) program at Boston University is a 6-week residential program for rising seniors (currently enrolled in 11th grade). Students conduct university-level laboratory research and select either the Internship or Practicum track. The Internship track involves 40 hours per week of mentor-directed research focused on developing technical and analytical skills. Alternatively, the Practicum track consists of a daily two-hour morning lecture followed by four hours of collaborative group experiments designed to model standard university research procedures.",https://www.bu.edu/summer/high-school-programs/rise-internship-practicum/,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Carnegie Hall Summer Youth Ensembles,"Each summer, Carnegie Hall’s national youth ensembles bring together the brightest young American instrumentalists for intensive training and performances on some of the world’s greatest stages. All three programs are free and led by an all-star faculty of professional musicians, giving students the opportunity to hone their talents while working with the world’s finest artists. As national ensembles, these programs include a broad range of musicians from across the country that reflect the exceptional talent and diversity of the United States.",https://www.carnegiehall.org/Education/Programs/National-Youth-Ensembles,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,,TRUE,FALSE,,,,,FALSE,,,,,TRUE,,
Carnegie Mellon School of Drama Pre-College Program,"The Carnegie Mellon University School of Drama Pre-College program is a 6-week residential program for high school juniors and seniors that offers training and preparation for college auditions and interviews within an acclaimed drama conservatory. Students choose from three specialized tracks: the Acting Option, which focuses on repertoire building and acting for the camera; the Design & Production Option, which concentrates on portfolio development and technical skills like stage management and fabrication; and the Music Theater Option, which prioritizes song coaching and tiered dance training in ballet and jazz. All students receive foundational instruction in dramaturgy, ensuring a comprehensive understanding of theatrical practice as they prepare for future applications to Bachelor of Fine Arts programs.",https://drama.cmu.edu/academics/summer-pre-college-program/,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,,TRUE,FALSE,,TRUE,,,FALSE,,,,,TRUE,,
Columbia Engineering the Next Generation (ENG),This 6-week program at Columbia Engineering provides students with hands-on research experience and multi-level mentorship. Participants work alongside faculty and researchers to develop academic and professional skills in one of two tracks: the Foundations of Research (FoR) or the Center for Smart Streetscapes (CS3).,https://outreach.engineering.columbia.edu/eng,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,FALSE,TRUE,FALSE,,,TRUE,,FALSE,,,,,,,
Columbia Summer High School Academic Program for Engineers (SHAPE),"SHAPE is a pre-college program for rising sophomores through recent graduates interested in STEM. Held at Columbia University, each 3-week session features college-level, project-based engineering courses taught by diverse faculty members.",https://outreach.engineering.columbia.edu/content/shape-summer-high-school-academic-program-engineers,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,,TRUE,FALSE,,,TRUE,,FALSE,,,,,,,
Kenyon Review Young Writers Workshops,"The Kenyon Review Young Writers Summer Residential Workshops offer a dynamic 2-week residential program on the Kenyon College campus for talented high school students from around the world. Participants join a supportive literary community designed to stretch their creative talents and discover new strengths alongside peers who share a passion for the written word. These multi-genre workshops encourage students to challenge themselves through intensive writing exercises and collaborative sessions, all within the inspiring environment of a premier liberal arts institution.",https://kenyonreview.org/high-school-workshops/,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,FALSE,,TRUE,FALSE,,TRUE,,,FALSE,FALSE,FALSE,,,TRUE,TRUE,
Manhattan District Attorney High School Internship Program (HSIP),"This rigorous 5-week internship offers students an insider’s perspective on the criminal justice system. Participants engage in workshops, professional development, and a mock trial program while working in an office setting. Interns are paid minimum wage and must demonstrate a strong interest in law and public service.",https://manhattanda.org/careers/internship-opportunities/high-school-internship/,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,TRUE,,FALSE,,,,,FALSE,,TRUE,,TRUE,,,
NASA Goddard Institute for Space Studies (GISS) Internships,"Students interested in climate science and data modeling can apply for a variety of research-based internships at the Goddard Institute for Space Studies. Interns work directly with NASA scientists on projects related to Earth science, gaining technical skills and exposure to professional research environments.",https://www.giss.nasa.gov/edu/intern/,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,TRUE,,FALSE,,,TRUE,,FALSE,TRUE,,,,,,
NYU Applied Research in Science and Engineering (ARISE),"ARISE is a free 10-week summer program for students interested in STEM research. It consists of 4 weeks of foundational training in safety, writing, and research skills, followed by 6 weeks of hands-on research in over 80 NYU labs, where students assist faculty on real-world engineering and science projects.",https://k12stem.engineering.nyu.edu/programs/arise,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,,TRUE,FALSE,,,TRUE,,FALSE,,,,,,FALSE,
NYU Steinhardt Summer Art Intensive,"In this 4-week summer program, high school artists develop their practice in digital art, painting, and sculpture. Students work closely with NYU faculty in a close-knit community to create ambitious works and gain insight into New York’s contemporary art world.",https://steinhardt.nyu.edu/programs/art-education/high-school-programs/high-school-summer-art-intensive-studio-practice,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,FALSE,TRUE,FALSE,,,,,FALSE,,FALSE,,,TRUE,,
NYU GSTEM Research Program,"GSTEM is a 6-week summer research program for high school students interested in STEM careers. Participants are paired with researchers for individual projects in their chosen field, earn lab experience, and take weekly field trips to meet women leaders across various STEM disciplines.",https://wp.nyu.edu/gstem/about-us/,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,,TRUE,FALSE,,,TRUE,,FALSE,,,,,,,
Rockefeller University Summer Science Research Program (SSRP),"SSRP is a competitive 7-week mentored research program for high school juniors and seniors. Scholars join research teams led by scientific trainees from Rockefeller University, MSK, and WCMC. The experience is supplemented by elective courses, guest lectures, and networking workshops.",https://www.rockefeller.edu/outreach/ssrp/,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,,TRUE,FALSE,,,TRUE,,FALSE,,,,,,,
Telluride Association Summer Seminar,"The Telluride Association Summer Seminar (TASS) is a free, 6-week educational program for high school sophomores and juniors focused on critical thinking and democratic community. The curriculum explores how power and privilege shape social structures through two distinct areas of study: TASS-CBS (Critical Black Studies), which examines history, politics, and art through the intellectual contributions of people of African descent, and TASS-AOS (Anti-Oppressive Studies), which investigates how diverse forms of power influence social organization. Held at Cornell University and the University of Maryland, the program covers all student costs, including tuition, books, room and board, and field trips. TASS is open to rising juniors and seniors who demonstrate a commitment to leadership and service, providing a transformative experience rooted in the humanities and social sciences.",https://tellurideassociation.org/our-programs/high-school-students/,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,,TRUE,FALSE,,TRUE,,,FALSE,,TRUE,,TRUE,FALSE,TRUE,
UChicago Summer Session Pre-College Program,"The University of Chicago's Summer Session offers high school students the opportunity to join a global community of thinkers and engage with diverse subject areas in a rigorous academic environment. Situated on the university's Hyde Park campus, the program encourages students to take intellectual risks and explore topics beyond the high school curriculum. Residential programs range from one to four weeks in length. In the 3-Week Immersion, students enroll in an undergraduate-level course taught by UChicago faculty. These courses focus on in-depth exploration through seminar-style discussions, collaborative projects, and relevant field trips. The 4-Week Practicum involves intensive, hands-on courses are designed for students seeking deep research experience. Specialized tracks include Research in the Biological Sciences (RIBS), where participants learn advanced laboratory techniques, and Stones and Bones, a field-based program where students work alongside Field Museum paleontologists in Wyoming.",https://summer.uchicago.edu/pre-college/,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,FALSE,TRUE,FALSE,,TRUE,,,FALSE,FALSE,FALSE,,,FALSE,,
Yale Young Global Scholars Summer Program,"Yale Young Global Scholars (YYGS) is an academic enrichment program designed for outstanding high school students from around the world. Each summer, participants from over 150 countries and all 50 U.S. states gather at Yale’s historic campus for a 2-week interdisciplinary residential session. The program provides an immersive global learning experience at Yale University, allowing students to engage with diverse perspectives and challenging academic content in a collaborative community. The curriculum is highly collaborative, exposing participants to innovative topics while facilitating student discussions shaped by international perspectives. Students have the opportunity to participate in a STEM, social sciences, humanities, or cross-disciplinary track.",https://globalscholars.yale.edu/,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,,TRUE,FALSE,,TRUE,FALSE,,FALSE,,FALSE,,,,FALSE,
Urban Barcode DNA Research Program,"The Urban Barcode Research Program (UBRP), supported by the Pinkerton Foundation, is a science education initiative that engages NYC high school students in biodiversity studies using DNA technology. Once accepted, students complete a training course in biodiversity, conservation biology, and research methodology, gaining hands-on experience with laboratory techniques. Under expert mentorship, participants then conduct student-driven research projects using DNA barcoding to explore the relationship between biodiversity and human activity. As members of the NYC Science Research Mentoring Consortium, students also gain access to collaborative events and programming at partnering scientific institutions.",https://dnabarcoding101.org/programs/ubrp/,CLOSED,Upcoming application cycle (for 26-27 Academic Year) will open in Spring 2026,,,TRUE,FALSE,,,TRUE,FALSE,FALSE,TRUE,,,,,,
Whitney Museum Youth Insights Art Program,Youth Insights (YI) is an after-school and summer program that connects New York City high school students to art and artists. The Whitney also offers drop-in programs and events throughout the year.,https://whitney.org/education/teens/youth-insights,CLOSED,Upcoming application cycle (for 2027) will open later this year,,,TRUE,FALSE,,,,,FALSE,,,,,TRUE,,
Julliard Pre-College,"Juilliard Pre-College provides high-quality preparatory instruction for students in orchestral instruments, piano, organ, classical guitar, classical voice, and composition. The curriculum includes private lessons, chamber music, music theory, ear training, and large ensembles, with electives available in conducting, music history, and other specialized topics. The Preparatory Education program runs on Saturdays from 9:00 AM to 6:00 PM throughout the academic year, though students may occasionally be required to attend private lessons or chamber coachings during the week. Participants benefit from instruction by an outstanding faculty and receive numerous performance opportunities to refine their craft in a professional environment.",https://www.juilliard.edu/music/preparatory-division/juilliard-pre-college,CLOSED,Upcoming application cycle (for 2027) will open later this year,,,TRUE,FALSE,,,,,FALSE,FALSE,,,,TRUE,FALSE,
Federal Reserve Bank High School Fed Challenge,"The High School Fed Challenge is a research and writing competition designed to encourage students in grades 9-12 to explore economic themes and consider careers in the field. The program requires no previous study of economics, prioritizing intellectual curiosity and independent research. Participants gain a deeper understanding of economic principles and their real-world applications through the competition's annual theme, helping to foster critical thinking and analytical skills.",https://www.newyorkfed.org/outreach-and-education/high-school/high-school-fed-challenge,CLOSED,Upcoming submission cycle (for 2027) will open in September,TRUE,,FALSE,FALSE,,,,,FALSE,,,TRUE,,,TRUE,
Scholastic Art & Writing Awards,"The Scholastic Art & Writing Awards is the nation’s longest-running and most prestigious recognition program for creative teens in grades 7-12. This program provides an opportunity for students to submit original art and writing for the chance to earn local and national recognition, including scholarships and exhibition opportunities. In New York City, participants are eligible for Regional Awards, including Gold Key, Silver Key, and Honorable Mention distinctions, and are celebrated at a regional ceremony in March. Gold Key-winning works earn the additional honor of being showcased in the annual exhibition at the Metropolitan Museum of Art.",https://www.artandwriting.org/awards/,CLOSED,Upcoming submission cycle (for 2027) will open later this year,TRUE,,,FALSE,,,,,FALSE,,,,,TRUE,TRUE,
C-SPAN StudentCam Documentary Competition,"StudentCam is C-SPAN’s annual national video documentary competition that encourages students in grades 6-12 to think critically about issues affecting their communities and the nation. Participants must create a 5-6 minute documentary on a specified annual topic, incorporating C-SPAN video clips to support their research and analysis. The competition provides a platform for students to explore public policy and social issues while competing for various national prizes and recognition.",https://www.studentcam.org/,CLOSED,Upcoming submission cycle (for 2027) will open later this year,TRUE,,,FALSE,,,,,FALSE,,FALSE,,TRUE,TRUE,FALSE,
Bennington College Young Writers Awards,"Bennington College in Vermont hosts the annual Young Writers Awards to recognize high school achievement in poetry, short stories, and essays. Open to students in grades 9-12 worldwide, the competition honors the college's literary legacy, which includes Pulitzer Prize winners and U.S. poet laureates. Submissions are due by November 1, with first, second, and third place winners selected alongside distinguished entries for each grade level. All recognized participants receive cash prizes and scholarships.",https://www.bennington.edu/events/young-writers-awards,CLOSED,"Upcoming submission cycle will be due November 1, 2026",TRUE,,,FALSE,,,,,FALSE,,,,,TRUE,TRUE,
NYC Parks Lifeguard Job,NYC Parks is seeking dedicated individuals (ages 16+) to serve as seasonal lifeguards at city pools and beaches in Summer 2026. This role offers a wage of $22.00 per hour and builds critical skills in safety and leadership. All applicants must pass a qualifying swim test and complete a training program.,https://www.nycgovparks.org/opportunities/jobs/lifeguards,CLOSED,Upcoming qualifying swim tests (for Summer 2027) will begin in October,,TRUE,,FALSE,,,,,TRUE,FALSE,FALSE,,,,,
NYC Summer Youth Employment Program (SYEP),"As the nation’s largest youth employment program, SYEP connects NYC residents ages 14-24 with project-based learning opportunities or traditional 25-hour-per-week jobs. The program offers valuable work experience and financial compensation during the summer months.",https://application.nycsyep.com/,CLOSED,Upcoming submission cycle (for Summer 2027) will open later this year,,TRUE,,FALSE,,,,,FALSE,,TRUE,,,,,
The Met Museum Internships,"The Met offers paid summer internships for 10th and 11th grade students living in NYC. Interns explore museum careers in departments like curatorial, social media, design, and education. The program provides professional networking opportunities and hands-on work experience in a world-renowned art institution.",https://www.metmuseum.org/opportunities/internships/summer-internships-for-high-school-students,CLOSED,Upcoming submission cycle (for Summer 2027) will open later this year,,TRUE,FALSE,FALSE,,,,,FALSE,,,,,TRUE,,
Brooklyn District Attorney Summer Internship,"The Brooklyn District Attorney’s 2026 Summer High School Internship offers an overview of one of the largest DA’s offices in the country. The program is only open to students who live in Brooklyn. Selected students will participate in workshops, tours, and presentations regarding law enforcement. An intern’s duties may include assisting in investigations, attending trials, preparing and compiling documents and financial data, conducting and analyzing legal research, and supporting community outreach programs. Students will receive a weekly stipend.",https://www.brooklynda.org/internships/,CLOSED,Upcoming submission cycle (for Summer 2027) will open later this year,,TRUE,,FALSE,,,,,FALSE,,TRUE,,TRUE,,,
Foreign Policy Research Institute (FPRI) Remote Internships,"The FPRI Internship Program provides high school and college students with hands-on experience in the field of international relations. Interns support FPRI scholars by assisting with research or contributing to communications, events, and operations, with some roles requiring specialized skills in foreign languages or content creation. Participants receive mentorship from experienced professionals to develop critical thinking and collaboration skills, and they have the unique opportunity to publish original research on the program's Intern Corner. The experience is enriched by access to policy seminars and career-focused guest speaker sessions, including a weekly seminar series specifically for summer interns.",https://www.fpri.org/about/internships/,CLOSED,Upcoming submission cycle (for Summer 2027) will open later this year,,TRUE,,FALSE,TRUE,,,,FALSE,,,,TRUE,,TRUE,
Bank of America Student Leaders Program,"Ladder Internships connects ambitious high school students with real startups for an 8-week summer internship. The program selects and trains interns before pairing them with host companies led by CEOs from institutions like Harvard Business School and Y-Combinator. This opportunity allows students to gain professional experience and mentorship from industry leaders who have held roles at top firms such as Google, Microsoft, and McKinsey.",https://about.bankofamerica.com/en/making-an-impact/student-leaders,CLOSED,Upcoming submission cycle (for Summer 2027) will open later this year,,TRUE,,FALSE,,,,,FALSE,,FALSE,TRUE,,,,
